date	icu	icu_new
2020-10-23	1121	256
2020-10-24	1203	229
2020-10-25	1296	184
2020-10-26	1362	191
2020-10-27	1470	377
2020-10-28	1569	370
2020-10-29	1696	338
2020-10-30	1839	381
2020-10-31	1944	234
2020-11-01	2061	NA
2020-11-02	2243	455
2020-11-03	2388	480
2020-11-04	2546	478
2020-11-05	2653	408
2020-11-06	2753	422
2020-11-07	2839	400
2020-11-08	2904	228
2020-11-09	3005	404
2020-11-10	3059	454
2020-11-11	3127	442
2020-11-12	3186	649
2020-11-13	3299	802
2020-11-14	3325	278
2020-11-15	3385	312
2020-11-16	3436	484
2020-11-17	3517	513
2020-11-18	3561	450
2020-11-19	3588	462
2020-11-20	3615	468
2020-11-21	3630	200
2020-11-22	3709	371
2020-11-23	3742	285
2020-11-24	3770	548
2020-11-25	3781	559
2020-11-26	3826	524
2020-11-27	3854	492
2020-11-28	3888	502
2020-11-29	3901	270
2020-11-30	3926	416
2020-12-01	3919	532
2020-12-02	3957	502
2020-12-03	3980	537
2020-12-04	4011	482
2020-12-05	4051	584
2020-12-06	4108	380
2020-12-07	4179	526
2020-12-08	4257	685
2020-12-09	4278	538
2020-12-10	4339	689
2020-12-11	4432	655
2020-12-12	4491	611
2020-12-13	4552	413
2020-12-14	4670	644
2020-12-15	4735	721
2020-12-16	4836	829
2020-12-17	4856	622
2020-12-18	4899	708
2020-12-19	4939	504
2020-12-20	5022	550
2020-12-21	5167	634
2020-12-22	5216	753
2020-12-23	5243	1113
2020-12-24	5354	873
2020-12-25	5388	471
2020-12-26	5535	620
2020-12-27	5562	602
2020-12-28	5597	821
2020-12-29	5649	927
2020-12-30	5648	965
2020-12-31	5639	737
2021-01-01	5598	310
2021-01-02	5726	565
2021-01-03	5762	465
2021-01-04	5744	583
2021-01-05	5678	802
2021-01-06	5569	601
2021-01-07	5491	767
2021-01-08	5484	557
2021-01-09	5414	666
2021-01-10	5320	396
2021-01-11	5289	204
2021-01-12	5230	775
2021-01-13	5185	621
2021-01-14	5125	544
2021-01-15	5074	1556
2021-01-16	5015	337
2021-01-17	4971	317
2021-01-18	5003	547
2021-01-19	4947	773
2021-01-20	4836	NA
2021-01-21	4787	720
2021-01-22	4768	604
2021-01-23	4660	478
2021-01-24	4628	319
2021-01-25	4619	441
2021-01-26	4571	532
2021-01-27	4501	479
2021-01-28	4437	496
2021-01-29	4375	494
2021-01-30	4352	394
2021-01-31	4348	251
2021-02-01	4322	371
2021-02-02	4264	435
2021-02-03	4222	551
2021-02-04	4178	579
2021-02-05	4072	492
2021-02-06	3965	309
2021-02-07	3933	235
2021-02-08	3957	372
2021-02-09	3846	414
